BOROUGH CODE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LATITUDE,LONGITUDE,GROUPED CATEGORY
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2A,1920,55,,C3,158 WEST 136 STREET,,10030.0,4.0,0.0,4.0,1665.0,2250.0,1915.0,2,C3,957500,2022-05-19,,,Apartment
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2,1932,60,,C5,282 WEST 127TH STREET,,10027.0,11.0,0.0,11.0,1499.0,2880.0,1910.0,2,C5,1850000,2022-07-28,40.8111263,-73.9498393,Apartment
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2A,1932,159,,C3,280 WEST 127 STREET,,10027.0,4.0,0.0,4.0,1499.0,2880.0,1910.0,2,C3,2146222,2022-09-16,,,Apartment
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2,1937,44,,C5,228 WEST 132 STREET,,10027.0,11.0,0.0,11.0,1765.0,3885.0,1910.0,2,C5,1000000,2022-12-21,,,Apartment
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2,1937,159,,C5,274 WEST 132 STREET,,10027.0,11.0,0.0,11.0,1665.0,2499.0,1910.0,2,C5,999750,2023-03-03,,,Apartment
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2,1941,44,,C5,220 WEST 136 ST,,10030.0,11.0,0.0,11.0,1665.0,2499.0,1910.0,2,C5,1200000,2022-06-21,40.8162852,-73.94437459999999,Apartment
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2A,1942,57,,C3,286 WEST 137 STREET,,10030.0,4.0,0.0,4.0,1549.0,4247.0,1910.0,2,C3,1775000,2022-09-29,,,Apartment
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2A,2025,5,,C3,259 WEST 139 STREET,,10030.0,4.0,0.0,4.0,1898.0,4172.0,1920.0,2,C3,1350000,2022-05-31,40.81896,-73.9441392,Apartment
1,MANHATTAN,HARLEM-CENTRAL,14 RENTALS - 4-10 UNIT,2A,1907,22,,S4,119 WEST 122 STREET,,10027.0,4.0,1.0,5.0,2027.0,3141.0,1910.0,2,S4,1200000,2022-11-15,,,Multi-family home
1,MANHATTAN,HARLEM-EAST,02 TWO FAMILY DWELLINGS,1,1628,169,,B1,108 EAST 101 STREET,,10029.0,2.0,0.0,2.0,1603.0,1466.0,1890.0,1,B1,1050000,2023-04-12,40.7894047,-73.94988520000003,Duplex
1,MANHATTAN,HARLEM-EAST,02 TWO FAMILY DWELLINGS,1,1687,37,,B3,334 EAST 116TH STREET,,10029.0,2.0,0.0,2.0,1682.0,3000.0,1901.0,1,B3,1176500,2022-09-06,40.7962401,-73.9365447,Duplex
1,MANHATTAN,HARLEM-EAST,02 TWO FAMILY DWELLINGS,1,1795,4,,S2,2308 2 AVENUE,,10035.0,2.0,1.0,3.0,1673.0,2887.0,1901.0,1,S2,454000,2022-10-20,40.798505,-73.93633799999998,Duplex
1,MANHATTAN,HARLEM-EAST,02 TWO FAMILY DWELLINGS,1,1807,133,,B1,436 EAST 120 STREET,,10035.0,2.0,0.0,2.0,1682.0,3000.0,1899.0,1,B1,1073162,2022-05-16,40.79774099999999,-73.93221700000001,Duplex
1,MANHATTAN,HARLEM-EAST,03 THREE FAMILY DWELLINGS,1,1795,143,,C0,322 EAST 119 STREET,,10035.0,3.0,0.0,3.0,2153.0,3780.0,2003.0,1,C0,1900000,2023-02-15,40.798326,-73.935526,Multi-family home
1,MANHATTAN,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS,2B,1643,25,,C5,163 EAST 115 STREET,,10029.0,10.0,0.0,10.0,2018.0,2790.0,1910.0,2,C5,1400000,2023-01-05,,,Apartment
1,MANHATTAN,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS,2B,1643,27,,C5,167 EAST 115 STREET,,10029.0,10.0,0.0,10.0,1261.0,2060.0,1910.0,2,C5,1400000,2023-01-05,,,Apartment
