BOROUGH CODE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,MANHATTAN,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS,1,1928,151,,C0,244 WEST 123RD STREET,,10027.0,3.0,0.0,3.0,1396.0,3392.0,1910.0,1,C0,1890000,2023-01-26
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2B,1717,62,,C5,66 WEST 119 STREET,,10026.0,7.0,0.0,7.0,1615.0,2541.0,1909.0,2,C5,1400000,2023-03-01
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2B,1717,162,,C5,68 WEST 119 STREET,,10026.0,8.0,0.0,8.0,1615.0,2541.0,1909.0,2,C5,1400000,2023-03-01
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2A,1724,17,,C3,45 WEST 126 STREET,,10027.0,4.0,0.0,4.0,2081.0,2548.0,1909.0,2,C3,2250000,2022-05-02
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2,1724,131,,C5,7 WEST 126 STREET,,10027.0,11.0,0.0,11.0,1666.0,2751.0,1909.0,2,C5,575348,2022-05-31
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2A,1728,17,,C2,41 WEST 130 STREET,,10037.0,5.0,0.0,5.0,1998.0,4072.0,1910.0,2,C2,1350000,2022-05-10
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2A,1915,47,,C3,130 WEST 131 STREET,,10027.0,4.0,0.0,4.0,1998.0,3000.0,1910.0,2,C3,1662343,2023-03-29
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2,1920,46,,C5,130 WEST 136 STREET,,10030.0,11.0,0.0,11.0,1665.0,2799.0,1910.0,2,C5,1100000,2022-09-21
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2A,1920,55,,C3,158 WEST 136 STREET,,10030.0,4.0,0.0,4.0,1665.0,2250.0,1915.0,2,C3,957500,2022-05-19
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2,1932,60,,C5,282 WEST 127TH STREET,,10027.0,11.0,0.0,11.0,1499.0,2880.0,1910.0,2,C5,1850000,2022-07-28
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2A,1932,159,,C3,280 WEST 127 STREET,,10027.0,4.0,0.0,4.0,1499.0,2880.0,1910.0,2,C3,2146222,2022-09-16
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2,1937,44,,C5,228 WEST 132 STREET,,10027.0,11.0,0.0,11.0,1765.0,3885.0,1910.0,2,C5,1000000,2022-12-21
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2,1937,159,,C5,274 WEST 132 STREET,,10027.0,11.0,0.0,11.0,1665.0,2499.0,1910.0,2,C5,999750,2023-03-03
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2,1941,44,,C5,220 WEST 136 ST,,10030.0,11.0,0.0,11.0,1665.0,2499.0,1910.0,2,C5,1200000,2022-06-21
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2A,1942,57,,C3,286 WEST 137 STREET,,10030.0,4.0,0.0,4.0,1549.0,4247.0,1910.0,2,C3,1775000,2022-09-29
1,MANHATTAN,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS,2A,2025,5,,C3,259 WEST 139 STREET,,10030.0,4.0,0.0,4.0,1898.0,4172.0,1920.0,2,C3,1350000,2022-05-31
1,MANHATTAN,HARLEM-CENTRAL,14 RENTALS - 4-10 UNIT,2A,1907,22,,S4,119 WEST 122 STREET,,10027.0,4.0,1.0,5.0,2027.0,3141.0,1910.0,2,S4,1200000,2022-11-15
1,MANHATTAN,HARLEM-CENTRAL,22 STORE BUILDINGS,4,1720,32,,K4,216 LENOX AVENUE,,10027.0,0.0,1.0,1.0,1600.0,4180.0,1909.0,4,K4,2100000,2022-05-16
1,MANHATTAN,HARLEM-CENTRAL,32 HOSPITAL AND HEALTH FACILITIES,4,2050,24,,I5,321 CONVENT AVENUE,,10031.0,0.0,1.0,1.0,2000.0,3681.0,1910.0,4,I5,685000,2023-02-22
1,MANHATTAN,HARLEM-CENTRAL,37 RELIGIOUS FACILITIES,4,1728,45,,M1,12 WEST 131 STREET,,10037.0,0.0,1.0,1.0,1740.0,3825.0,1910.0,4,M1,1100000,2022-06-03
1,MANHATTAN,HARLEM-CENTRAL,38 ASYLUMS AND HOMES,4,1906,55,,N9,154 WEST 122 STREET,,10027.0,0.0,1.0,1.0,1917.0,3952.0,1910.0,4,N9,1500000,2023-04-04
1,MANHATTAN,HARLEM-EAST,02 TWO FAMILY DWELLINGS,1,1628,169,,B1,108 EAST 101 STREET,,10029.0,2.0,0.0,2.0,1603.0,1466.0,1890.0,1,B1,1050000,2023-04-12
1,MANHATTAN,HARLEM-EAST,02 TWO FAMILY DWELLINGS,1,1687,37,,B3,334 EAST 116TH STREET,,10029.0,2.0,0.0,2.0,1682.0,3000.0,1901.0,1,B3,1176500,2022-09-06
1,MANHATTAN,HARLEM-EAST,02 TWO FAMILY DWELLINGS,1,1795,4,,S2,2308 2 AVENUE,,10035.0,2.0,1.0,3.0,1673.0,2887.0,1901.0,1,S2,454000,2022-10-20
1,MANHATTAN,HARLEM-EAST,02 TWO FAMILY DWELLINGS,1,1807,133,,B1,436 EAST 120 STREET,,10035.0,2.0,0.0,2.0,1682.0,3000.0,1899.0,1,B1,1073162,2022-05-16
1,MANHATTAN,HARLEM-EAST,03 THREE FAMILY DWELLINGS,1,1795,143,,C0,322 EAST 119 STREET,,10035.0,3.0,0.0,3.0,2153.0,3780.0,2003.0,1,C0,1900000,2023-02-15
1,MANHATTAN,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS,2B,1643,25,,C5,163 EAST 115 STREET,,10029.0,10.0,0.0,10.0,2018.0,2790.0,1910.0,2,C5,1400000,2023-01-05
1,MANHATTAN,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS,2B,1643,27,,C5,167 EAST 115 STREET,,10029.0,10.0,0.0,10.0,1261.0,2060.0,1910.0,2,C5,1400000,2023-01-05
1,MANHATTAN,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS,2B,1815,110,,C5,515 1/2 EAST 118 STREET,,10035.0,8.0,0.0,8.0,1682.0,2400.0,1900.0,2,C5,270000,2023-03-03
1,MANHATTAN,HARLEM-EAST,21 OFFICE BUILDINGS,4,1655,12,,O1,227 EAST 105TH ST,,10029.0,0.0,2.0,2.0,2511.0,2511.0,1920.0,4,O1,1300000,2023-02-02
1,MANHATTAN,HARLEM-EAST,21 OFFICE BUILDINGS,4,1667,7,,O8,211 EAST 117 STREET,,10035.0,1.0,1.0,2.0,2523.0,3500.0,1920.0,4,O8,1750000,2022-12-13
1,MANHATTAN,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,1,2084,109,,A9,545 WEST 152ND STREET,,10031.0,1.0,0.0,1.0,1549.0,3300.0,1899.0,1,A9,700000,2023-03-24
1,MANHATTAN,HARLEM-UPPER,02 TWO FAMILY DWELLINGS,1,2061,9,,B1,471 WEST 146TH STREET,,10031.0,2.0,0.0,2.0,1665.0,3000.0,2014.0,1,B1,2200000,2023-03-02
1,MANHATTAN,HARLEM-UPPER,02 TWO FAMILY DWELLINGS,1,2074,18,,B1,517 WEST 142 STREET,,10031.0,2.0,0.0,2.0,1699.0,3740.0,1899.0,1,B1,1990500,2022-11-07
1,MANHATTAN,HARLEM-UPPER,02 TWO FAMILY DWELLINGS,1,2080,44,,B1,528 WEST 149 STREET,,10031.0,2.0,0.0,2.0,1499.0,2904.0,1910.0,1,B1,1200000,2022-11-03
1,MANHATTAN,HARLEM-UPPER,02 TWO FAMILY DWELLINGS,1,2084,5,,B1,559 WEST 152 STREET,,10031.0,2.0,0.0,2.0,1343.0,3840.0,1899.0,1,B1,1500000,2022-07-07
1,MANHATTAN,HARLEM-UPPER,03 THREE FAMILY DWELLINGS,1,2073,149,,C0,522 WEST 142ND STREET,,10031.0,3.0,0.0,3.0,1499.0,2872.0,1910.0,1,C0,998000,2022-11-23
1,MANHATTAN,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS,2A,2057,30,,C3,475 WEST 140TH STREET,,10031.0,4.0,0.0,4.0,1799.0,3588.0,1926.0,2,C3,999999,2023-02-24
1,MANHATTAN,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS,2B,2061,24,,C5,421 WEST 146TH STREET,,10031.0,10.0,0.0,10.0,1199.0,2588.0,1920.0,2,C5,1683000,2023-04-19
1,MANHATTAN,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS,2A,2062,6,,C2,467 WEST 147 STREET,,10031.0,6.0,0.0,6.0,1873.0,2580.0,1926.0,2,C2,1120000,2022-09-21
1,MANHATTAN,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS,2A,2081,18,,C3,533 WEST 149 STREET,,10031.0,4.0,0.0,4.0,1599.0,3274.0,1905.0,2,C3,1350000,2022-11-04
1,MANHATTAN,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS,2A,2082,18,,C2,529 WEST 150 STREET,,10031.0,6.0,0.0,6.0,1699.0,3629.0,1910.0,2,C2,1900000,2023-03-28
1,MANHATTAN,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS,2A,2082,23,,C5,513 WEST 150 STREET,,10031.0,6.0,0.0,6.0,1499.0,3408.0,1910.0,2,C5,750000,2022-05-03
1,MANHATTAN,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS,2A,2082,124,,C3,509 WEST 150 STREET,,10031.0,4.0,0.0,4.0,1499.0,3564.0,1910.0,2,C3,1320000,2022-05-04
1,MANHATTAN,INWOOD,01 ONE FAMILY DWELLINGS,1,2215,264,,A1,60 TERRACE VIEW,,10463.0,1.0,0.0,1.0,1975.0,1899.0,1920.0,1,A1,765000,2023-01-13
1,MANHATTAN,INWOOD,01 ONE FAMILY DWELLINGS,1,2215,425,,A1,11 VAN CORLEAR PLACE,,10463.0,1.0,0.0,1.0,2400.0,1848.0,1910.0,1,A1,959500,2022-06-15
1,MANHATTAN,LITTLE ITALY,14 RENTALS - 4-10 UNIT,2A,478,17,,S4,174 ELIZABETH STREET,,10012.0,4.0,1.0,5.0,940.0,2660.0,1900.0,2,S4,1050000,2022-07-28
1,MANHATTAN,MIDTOWN CBD,22 STORE BUILDINGS,4,1312,120,,K2,709 LEXINGTON AVENUE,,10022.0,0.0,1.0,1.0,1320.0,1960.0,1910.0,4,K2,675000,2022-12-22
1,MANHATTAN,UPPER EAST SIDE (79-96),22 STORE BUILDINGS,4,1503,20,,K4,1283 MADISON AVENUE,,10128.0,2.0,2.0,4.0,1020.0,2970.0,1915.0,4,K4,1980000,2023-02-10
1,MANHATTAN,WASHINGTON HEIGHTS LOWER,01 ONE FAMILY DWELLINGS,1,2108,8,,A9,946 ST. NICHOLAS AVE,,10032.0,1.0,0.0,1.0,900.0,3238.0,1899.0,1,A9,1317500,2022-09-16
1,MANHATTAN,WASHINGTON HEIGHTS LOWER,02 TWO FAMILY DWELLINGS,1,2118,55,,B1,541 WEST 159 STREET,,10032.0,2.0,0.0,2.0,1532.0,3480.0,1905.0,1,B1,1215000,2022-07-29
1,MANHATTAN,WASHINGTON HEIGHTS LOWER,02 TWO FAMILY DWELLINGS,1,2120,12,,B2,556 WEST 162 STREET,,10032.0,2.0,0.0,2.0,1799.0,3225.0,1910.0,1,B2,1176500,2022-08-05
1,MANHATTAN,WASHINGTON HEIGHTS LOWER,02 TWO FAMILY DWELLINGS,1,2122,14,,B1,533 WEST 162 STREET,,10032.0,2.0,0.0,2.0,2000.0,3000.0,1920.0,1,B1,995000,2022-10-24
1,MANHATTAN,WASHINGTON HEIGHTS LOWER,02 TWO FAMILY DWELLINGS,1,2131,136,,B1,528 WEST 175 STREET,,10033.0,2.0,0.0,2.0,1704.0,2592.0,1901.0,1,B1,1600000,2023-03-27
1,MANHATTAN,WASHINGTON HEIGHTS LOWER,03 THREE FAMILY DWELLINGS,1,2131,35,,C0,534 WEST 175 STREET,,10033.0,3.0,0.0,3.0,1416.0,2592.0,1901.0,1,C0,997500,2022-07-15
1,MANHATTAN,WASHINGTON HEIGHTS UPPER,01 ONE FAMILY DWELLINGS,1,2157,84,,A5,434 AUDUBON AVENUE,,10033.0,1.0,0.0,1.0,1667.0,2472.0,1899.0,1,A5,1100000,2022-08-30
1,MANHATTAN,WASHINGTON HEIGHTS UPPER,07 RENTALS - WALKUP APARTMENTS,2B,2156,73,,C5,532 WEST 187TH STREET,,10033.0,7.0,0.0,7.0,1413.0,2164.0,1910.0,2,C5,999999,2023-03-01
1,MANHATTAN,WASHINGTON HEIGHTS UPPER,14 RENTALS - 4-10 UNIT,2A,2166,159,,S4,633 WEST 185 STREET,,10033.0,4.0,1.0,5.0,900.0,2521.0,1910.0,2,S4,730890,2023-02-03
1,MANHATTAN,WASHINGTON HEIGHTS UPPER,14 RENTALS - 4-10 UNIT,2A,2166,159,,S4,633 WEST 185TH,,10033.0,4.0,1.0,5.0,900.0,2521.0,1910.0,2,S4,926777,2022-05-20
1,MANHATTAN,WASHINGTON HEIGHTS UPPER,22 STORE BUILDINGS,4,2174,65,,K2,110 DYCKMAN STREET,,10040.0,0.0,2.0,2.0,1600.0,1920.0,1940.0,4,K2,1900000,2022-12-19
2,BRONX,BATHGATE,01 ONE FAMILY DWELLINGS,1,2905,26,,A9,1667 WASHINGTON AVENUE,,10457.0,1.0,0.0,1.0,4750.0,3167.0,1899.0,1,A9,980000,2022-09-08
2,BRONX,BATHGATE,01 ONE FAMILY DWELLINGS,1,3028,24,,A1,410 EAST 179TH STREET,,10457.0,1.0,0.0,1.0,1842.0,2048.0,1901.0,1,A1,655000,2022-11-01
2,BRONX,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,65,,A1,4455 PARK AVENUE,,10457.0,1.0,0.0,1.0,1622.0,1587.0,1899.0,1,A1,520000,2022-10-26
2,BRONX,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,66,,A1,4453 PARK AVENUE,,10457.0,1.0,0.0,1.0,1646.0,1497.0,1899.0,1,A1,215000,2023-04-18
